#timebase=40000000(ps)
,#voltbase=2000000(uV)
#size=40064
5.18000E-05,4880.000
5.18500E-05,4720.000
5.19000E-05,4800.000
5.19500E-05,4880.000
5.20000E-05,4720.000
5.20500E-05,4720.000
5.21000E-05,4800.000
5.21500E-05,4720.000
5.22000E-05,4880.000
5.22500E-05,4880.000
5.23000E-05,4800.000
5.23500E-05,4800.000
5.24000E-05,4800.000
5.24500E-05,4800.000
5.25000E-05,4720.000
5.25500E-05,4880.000
5.26000E-05,4800.000
5.26500E-05,4800.000
5.27000E-05,4800.000
5.27500E-05,4880.000
5.28000E-05,4880.000
5.28500E-05,4720.000
5.29000E-05,4800.000
5.29500E-05,4720.000
5.30000E-05,4720.000
5.30500E-05,4800.000
